season,title,episode_number,airdate,rating,total_votes,desc,cast
1,Thirty-Nine Graves,12,2016-04-04,8.0,868,The students wake up with foggy memories and regret after a night of drinking; Penny reminds everyone that their lives depend on getting to The Neitherlands.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
1,Have You Brought Me Little Cakes,13,2016-04-11,8.3,1058,"Quentin and Julia are using time magic to get to Fillory, where they try to catch up with the students who are 70 years ahead of them searching for the Beast.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Knight of Crowns,1,2017-01-25,7.8,803,"In the aftermath of their clash with The Beast, Quentin and his friends scramble for a new plan, while Julia and The Beast strike a dangerous deal.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Hotel Spa Potions,2,2017-02-01,7.8,709,"Quentin, Alice, Penny and Margo seek a new weapon. Eliot struggles with being king. Julia and The Beast find an unexpected ally.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Divine Elimination,3,2017-02-08,8.6,875,"Quentin and friends prepare to face The Beast again, while Julia conspires with The Beast and their new ally to lure and trap Reynard.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,The Flying Forest,4,2017-02-15,7.9,690,Quentin and Penny embark upon a quest. Margo works on a way to help Eliot. Julia seeks out an old friend's help.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Cheat Day,5,2017-02-22,7.7,652,Life without magic proves difficult for Quentin. Julia deals with upsetting news. Eliot and Margo are faced with a new threat in Fillory. Penny returns to old stomping grounds.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,The Cock Barrens,6,2017-03-01,7.7,613,Quentin teams up with Alice's dad. Margo uses her powers of diplomacy while Penny tries to save a kidnapped Fillory. Banishing Renard comes with some surprises.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Plan B,7,2017-03-08,8.3,647,"Julia and Kady enlist Quentin, Margo, Eliot and Penny for a magical heist.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Word as Bond,8,2017-03-15,7.9,593,"Julia, Kady, Penny and Quentin set out to find another spawn of Reynard as Kady struggles to reveal to Julia the consequences of her recent procedure. Quentin reluctantly enlists the help of Alice's Niffin to save the Brakebills gang by creating a word as bond spell with her...but quickly regrets it once realizing its true motives. With a war waging between Fillory and Loria and an unconscious High King Eliot, Julia takes matters into her own hands which puts Fillory, and Margo, in a difficult situation.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Lesser Evils,9,2017-03-22,8.0,630,"Dean Fogg and Professor Lipson attempt to rid Quentin of Alice's Niffin but he refuses to let Alice go. Meanwhile, with magic fading in Fillory, Eliot agrees to a risky duel with King Idri of Loria, in lieu of a war, in the hopes that it will gain the respect of the Fillorians in the process. Julia, Penny and Kady locate Reynard's son in an effort to lure Reynard to them. In the process, Julia uses Quentin in a way that shocks everyone involved, including herself.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,The Girl Who Told Time,10,2017-03-29,7.9,584,The Royal Court of Fillory prepares for Eliot's nuptials as he endeavors to win over the Fillorians with the extravagant event. Penny begins his contractual obligations to the Neitherlands Library as Kady searches for any information about god killing. Quentin experiences a mind-bending vision while on a drug-laced trip that sends him and Julia on a mysterious quest.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,The Rattening,11,2017-04-05,8.0,578,Quentin and Julia travel to the Underworld. Margo must deal with the fallout of her past decisions. Senator Gaines learns of his gift. Penny is determined to enter the Poison Room.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,Ramifications,12,2017-04-12,8.2,595,Alice and her shade are reassembled. Julia and Kady are determined to draw out Reynard. Elliot and Quentin are determined to return back to Fillory. Penny searches for a book.,"['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
2,We Have Brought You Little Cakes,13,2017-04-19,8.4,629,"A crisis comes to a head when the true power behind the troubles comes to party. Battles are won and wars are lost, as Q and the others must protect their kingdom. Alice makes a startling revelation and things may never be the same.","['Jason Ralph', 'Stella Maeve', 'Olivia Taylor Dudley', 'Hale Appleman', 'Arjun Gupta', 'Summer Bishil', 'Jade Tailor', 'Rick Worthy', 'David Call', 'Michael Cassidy', 'Wayne Pére', 'Laura Fraser', 'Tembi Locke', 'Esmé Bianco', 'Rose Liston', 'Seth Meriwether', 'Brian Beckman', 'Anthony Marble']"
